iter	Passed	Remaining
239	1952	79399
240	1960	79407
241	1969	79420
242	1978	79422
243	1985	79405
244	1993	79380
245	2001	79364
246	2009	79347
247	2017	79325
248	2025	79303
249	2032	79268
250	2040	79259
251	2048	79230
252	2056	79219
253	2063	79189
254	2072	79183
255	2079	79167
256	2088	79180
257	2096	79169
258	2104	79167
259	2112	79155
260	2120	79131
261	2128	79098
262	2136	79100
263	2144	79077
264	2151	79054
265	2159	79036
266	2167	79008
267	2175	78988
268	2182	78945
269	2189	78920
270	2197	78886
271	2205	78871
272	2213	78868
273	2221	78846
274	2229	78831
275	2236	78795
276	2244	78768
277	2251	78740
278	2258	78702
279	2266	78668
280	2273	78644
281	2281	78619
282	2288	78588
283	2295	78545
284	2303	78537
285	2311	78513
286	2319	78488
287	2327	78486
288	2335	78475
289	2343	78463
290	2351	78452
291	2359	78434
292	2366	78407
293	2374	78382
294	2381	78350
295	2389	78346
296	2397	78332
297	2405	78317
298	2413	78301
299	2420	78273
300	2428	78258
301	2436	78241
302	2444	78238
303	2452	78224
304	2460	78211
305	2468	78208
306	2476	78197
307	2484	78177
308	2492	78160
309	2499	78141
310	2507	78108
311	2515	78102
312	2522	78077
313	2530	78067
314	2538	78058
315	2546	78033
316	2554	78036
317	2562	78023
318	2570	78009
319	2578	77991
320	2585	77971
321	2593	77950
322	2600	77924
323	2608	77915
324	2616	77895
325	2624	77877
326	2632	77879
327	2641	77889
328	2649	77884
329	2657	77867
330	2665	77857
331	2673	77855
332	2681	77846
333	2690	77851
334	2697	77835
335	2706	77831
336	2713	77806
337	2721	77799
338	2729	77794
339	2737	77774
340	2745	77757
341	2752	77732
342	2760	77726
343	2768	77715
344	2776	77695
345	2783	77678
346	2791	77659
347	2799	77650
348	2807	77631
349	2815	77616
350	2822	77593
351	2830	77589
352	2839	77588
353	2846	77573
354	2854	77556
355	2862	77539
356	2870	77531
357	2877	77508
358	2885	77491
359	2893	77484
360	2901	77462
361	2909	77454
362	2916	77432
363	2924	77419
364	2932	77399
365	2939	77374
366	2947	77366
367	2954	77342
368	2962	77324
369	2970	77305
370	2977	77279
371	2984	77243
372	2991	77217
373	2999	77198
374	3007	77189
375	3015	77181
376	3022	77158
377	3029	77128
378	3037	77101
379	3044	77080
380	3052	77067
381	3060	77048
382	3067	77029
383	3075	77021
384	3083	76996
385	3090	76978
386	3098	76969
387	3106	76963
388	3114	76946
389	3121	76923
390	3129	76915
391	3137	76892
392	3145	76883
393	3152	76871
394	3160	76856
395	3168	76842
396	3176	76831
397	3183	76813
398	3191	76804
399	3199	76789
400	3207	76776
401	3214	76753
402	3222	76733
403	3229	76717
404	3237	76694
405	3244	76676
406	3252	76666
407	3260	76652
408	3268	76645
409	3275	76622
410	3283	76614
411	3292	76611
412	3300	76604
